key,author,publication_year,title,doi,potentially_counfounded_analysis_present,text_indicating_potentially_counfounded_analysis_present,page,,,,,,,,,,,,,,,,
RTY6HHRV,"Vahey, Nigel A.; Barnes-Holmes, Dermot; Barnes-Holmes, Yvonne; Stewart, Ian",2009,A first test of the Implicit Relational Assessment Procedure as a measure of self-esteem: Irish prisoner groups and university students,10.1007/BF03395670,TRUE,"All three groups produced DIRAP-Total effects that were significantly different from zero: Undergraduates, t(23) = 6.385, p < .0001, d = 1.3; main block, t(12) = 3.317, p = .006, d = .92; open area, t(5) = .249, p = .002, d = 2.3,",381,,,,,,,,,,,,,,,,
QPKWE67J,"Barnes-Holmes, Dermot; Murphy, Aisling; Barnes-Holmes, Yvonne; Stewart, Ian",2010,The Implicit Relational Assessment Procedure: Exploring the impact of private versus public contexts and the response latency criterion on pro-white and anti-black stereotyping among white Irish individuals,10.1007/BF03395694,TRUE,Eight one-sample t tests were conducted to determine if the DIRAP trial-type scores differed significantly from zero.,52,,,,,,,,,,,,,,,,
KHZT9WWK,"Barnes-Holmes, Dermot; Murtagh, Louise; Barnes-Holmes, Yvonne; Stewart, Ian",2010,Using the Implicit Association Test and Implicit Relational Assessment Procedure to measure attitudes towards meat and vegetables in vegetarians and meat-eaters,https://doi.org/10.1007/BF03395708,TRUE,Two one-sample t tests indicated that the two D-IRAP effects for the vegetarians differed significantly from zero,298,,,,,,,,,,,,,,,,
Z8STQG27,"Drake, Chad E.; Kellum, Karen Kate; Wilson, Kelly G.; Luoma, Jason B.; Weinstein, Jonathan H.; Adams, Catherine H.",2010,Examining the Implicit Relational Assessment Procedure: Four preliminary studies,https://doi.org/10.1007/BF03395695,TRUE,"One-sample t tests also were conducted for each trial type in each IRAP condition. As depicted in Figures 2 through 6, results for trial types varied across each possible combination of sample and target",79,,,,,,,,,,,,,,,,
J4P7VF3R,"Hooper, Nic; Villatte, Matthieu; Neofotistou, Evi; McHugh, Louise",2010,The effects of mindfulness versus thought suppression on implicit and explicit measures of experiential avoidance,10.1037/h0100910,TRUE,"A DIRAP score below the x axis indicates that the participant is low in psychological flexibility, a DIRAP score above the x axis indicates that the participant is high in psychological flexibility, and a DIRAP score of 0 suggests that the participant is neither low nor high in psychological flexibility. ",238,,,,,,,,,,,,,,,,
8RAYT2NV,"Roddy, Sarah; Stewart, Ian; Barnes-Holmes, Dermot",2010,"Anti-fat, pro-slim, or both?: Using two reaction-time based measures to assess implicit attitudes to the slim and overweight",10.1177/1359105309350232,TRUE,One sample t-tests indicated that the D-IRAP scores for the two Slim trial types were statistically significant from zero,421,,,,,,,,,,,,,,,,
TIKBKFW7,"Stockwell, Fawna M. J.; Walker, Diana J.; Eshleman, John W.",2010,Measures of implicit and explicit attitudes toward mainstream and BDSM sexual terms using the IRAP and questionnaire with BDSM/fetish and student participants,10.1007/BF03395709,FALSE,NA,NA,,,,,,,,,,,,,,,,
MCZN4SS3,"Timko, C. Alix; England, Erica L.; Herbert, James D.; Forman, Evan M.",2010,The Implicit Relational Assessment Procedure as a measure of self-esteem,10.1007/BF03395739,TRUE,One-sample t tests indicated that the DIRAP-TRIAL tYPE scores for three out of the four trial types differed significantly from zero,687,,,,,,,,,,,,,,,,
7KV5BYMX,"Vahey, Nigel; Boles, Shawn; Barnes-Holmes, Dermot",2010,Measuring adolescents' smoking-related social identity preferences with the Implicit Relational Assessment Procedure (IRAP) for the first time: A starting point that explains later IRAP evolutions,,TRUE,"Whereas, smoker participants appeared to entail Rejection words as Similar to Nonsmoker (D= .34; although the difference from zero was not significant; t (4)= 1.3164, p >.258),",467,,,,,,,,,,,,,,,,
WIHD8MS5,"Campbell, Claire; Barnes-Holmes, Yvonne; Barnes-Holmes, Dermot; Stewart, Ian",2011,Exploring screen presentations in the Implicit Relational Assessment Procedure (IRAP),,TRUE,Four one-sample t-tests were conducted to identify if the overall D-IRAP score for each condition differed significantly from zero.,385,,,,,,,,,,,,,,,,
WXEVPCLV,"Hughes, Sean; Barnes-Holmes, Dermot",2011,On the formation and persistence of implicit attitudes: New evidence from the Implicit Relational Assessment Procedure (IRAP),https://doi.org/10.1007/BF03395768,TRUE,Nine separate one-sample t tests indicated that each of the IRAP effects was significantly different from zero (ps > .05),401,,,,,,,,,,,,,,,,
PNZN35L9,"Juarascio, Adrienne S.; Forman, Evan M.; Timko, C. Alix; Herbert, James D.; Butryn, Meghan; Lowe, Michael",2011,"Implicit internalization of the thin ideal as a predictor of increases in weight, body dissatisfaction, and disordered eating",10.1016/j.eatbeh.2011.04.004,TRUE,"One-sample t-tests indicated that all four means were significantly different from zero, meaning that significant differences in response latencies between consistent and inconsistent test blocks were present, with more participants responding inconsistently to [thin image] trials and more participants responding consistently to [fat image] trials.",209,,,,,,,,,,,,,,,,
94LGYZEJ,"Roddy, Sarah; Stewart, Ian; Barnes‐Holmes, Dermot",2011,Facial reactions reveal that slim is good but fat is not bad: Implicit and explicit measures of body‐size bias,10.1002/ejsp.839,TRUE,"One sample t-tests indicated that the D-IRAP scores for the two Slim trial types were significantly different from zero (Good-Slim, t [63]=6.94, p<.001, r=.66; Slim-Bad, t [63]=3.94, p<.001, r=.44),",691,,,,,,,,,,,,,,,,
JH59JBXH,"Scheel, Matthew H.; Fischer, Lauren A.; McMahon, Anthony J.; Mena, Melissa M.; Wolf, Joshua E.",2011,The Implicit Relational Assessment Procedure (IRAP) as a measure of women's stereotypes about gay men,,TRUE,One-sample t-tests compared obtained means with hypothetical means of 0.,13 of preprint,,,,,,,,,,,,,,,,
STNU8VG3,"Bortoloti, Renato; de Rose, Julio C.",2012,Equivalent stimuli are more strongly related after training with delayed matching than after simultaneous matching: A study using the Implicit Relational Assessment Procedure (IRAP),https://doi.org/10.1007/BF03395785,TRUE,"In this case, the consistent trials yielded significantly shorter latencies than the inconsis- tent trials (consistent, M = 1,400.5; inconsistent, M = 1,571.5; t = 3.172, p = .0016).",48,,,,,,,,,,,,,,,,
R44BGEHT,"Carpenter, Kenneth M.; Martinez, Diana; Vadhan, Nehal P.; Barnes-Holmes, Dermot; Nunes, Edward V.",2012,Measures of attentional bias and relational responding are associated with behavioral treatment outcome for cocaine dependence,10.3109/00952990.2011.643986,TRUE,"On the IRAP task, an overall significant negative D-IRAP was demonstrated. Negative D-scores were also demonstrated across all four trial types. The negative D-score indicates participants responded quicker to the items presented during inconsistent blocks (anti-cocaine) compared to items presented in the consistent blocks (prococaine). This pattern suggests stronger “anti-cocaine” beliefs relative to “pro-cocaine” beliefs.",151,,,,,,,,,,,,,,,,
EJCN67X6,"Hussey, Ian; Barnes-Holmes, Dermot",2012,The Implicit Relational Assessment Procedure as a measure of implicit depression and the role of psychological flexibility,10.1016/j.cbpra.2012.03.002,FALSE,NA,NA,,,,,,,,,,,,,,,,
WCUDLSY4,"Nicholson, Emma; Barnes- Holmes, Dermot",2012,The Implicit Relational Assessment Procedure (IRAP) as a measure of spider fear,10.1007/BF03395801,TRUE,a series of one sample t tests indicated that the IRAP effect was not significantly different from zero for the low-fear group for spiders,270,,,,,,,,,,,,,,,,
YSEQIUSR,"Nicholson, Emma; Barnes-Holmes, Dermot",2012,Developing an implicit measure of disgust propensity and disgust sensitivity: Examining the role of implicit disgust propensity and sensitivity in obsessive-compulsive tendencies,10.1016/j.jbtep.2012.02.001,TRUE,"Both scores proved to be significantly different from zero: Disgust-Bad, t(25) 1â„4 4.43, p 1â„4 .0002; Disgust-Distressing, t(25) 1â„4 2.53, p 1â„4 .01.",926,,,,,,,,,,,,,,,,
RTHSRG6R,"Parling, Thomas; Cernvall, Martin; Stewart, Ian; Barnes-Holmes, Dermot; Ghaderi, Ata",2012,Using the Implicit Relational Assessment Procedure to compare implicit pro-thin/anti-fat attitudes of patients with anorexia nervosa and non-clinical controls,10.1080/10640266.2012.654056,TRUE,"All the attitudes, except â€œBad others fatâ€ and â€œGood others thin,â€ were significantly different from zero in the clinical group",137,,,,,,,,,,,,,,,,
IRSCCDKL,"Kelly, Amanda; Barnes-Holmes, Dermot",2013,Implicit attitudes towards children with autism versus normally developing children as predictors of professional burnout and psychopathology,10.1016/j.ridd.2012.07.018,TRUE,"Four one-sample t-tests were used to determine if the IRAP trial-type effects (collapsed across the two groups) differed significantly from zero. The effects for the two normally-developing trial-types proved to be significant (Normal-Negative, t = 3.14, df = 31, p < .004; Normal-Positive, t = 5.75, df = 31, p < .0001), but the effects for the two autism trial-types did not (ps > .3).",11 in preprint,,,,,,,,,,,,,,,,
8HRZ24G9,"Kosnes, Liv; Whelan, Robert; O'Donovan, Aoife; McHugh, Louise A.",2013,Implicit measurement of positive and negative future thinking as a predictor of depressive symptoms and hopelessness,10.1016/j.concog.2013.06.001,TRUE,"In order to explore the FT-IRAP data further and gain an indication of the relational responses within the groups, planned one-sample T-tests were employed to determine if the mean DIRAP scores for the four trial types differ significantly from zero.",905,,,,,,,,,,,,,,,,
B9YC5YPF,"Nicholson, Emma; McCourt, Angela; Barnes-Holmes, Dermot",2013,The Implicit Relational Assessment Procedure (IRAP) as a measure of obsessive beliefs in relation to disgust,10.1016/j.jcbs.2013.02.002,TRUE,"Scores from each trial-type in the IRAP were in the expected direction and were significant from zero,",26,,,,,,,,,,,,,,,,
EEWC32CR,"Nolan, Jason; Murphy, Carol; Barnes-Holmes, Dermot",2013,Implicit relational assessment procedure and body-weight bias: Influence of gender of participants and targets,10.11133/j.tpr.2013.63.3.005,TRUE,"One-sample planned t-tests were conducted to determine if the D-IRAP scores for each of the trial-types for both groups were significantly different from zero. Analysis of individual trial types indicated that the Intelligent-Slim trial type, and the Unintelligent-Slim trial type, were statistically significant different from zero",20 in preprint,,,,,,,,,,,,,,,,
X9SSIQV6,"Remue, Jonathan; De Houwer, Jan; Barnes-Holmes, Dermot; Vanderhasselt, Marie-Anne; De Raedt, Rudi",2013,Self-esteem revisited: Performance on the implicit relational assessment procedure as a measure of self- versus ideal self-related cognitions in dysphoria,10.1080/02699931.2013.786681,FALSE,NA,NA,,,,,,,,,,,,,,,,
Z8ZDUYEA,"Scanlon, Geraldine; Barnes-Holmes, Yvonne",2013,Changing attitudes: Supporting teachers in effectively including students with emotional and behavioural difficulties in mainstream education,10.1080/13632752.2013.769710,FALSE,NA,NA,,,,,,,,,,,,,,,,
8FVLPE75,"Scheel, Matthew H.; Roscoe, Brian H.; Schaewe, Victoria G.; Yarbrough, Christina S.",2013,Attitudes towards Muslims are more favorable on a survey than on an Implicit Relational Assessment Procedure (IRAP),,TRUE,"A one-way ANOVA revealed a main effect of Trial Type on D-IRAP scores, F(3, 48) = 5.45, MSE = 1.117, p = .003. A series of one-sample t-tests compared D-IRAP scores in each condition with a hypothetical mean of zero. Western-Pleasant (M = .42; SD = .37; t(16) = 4.661, p = .0003) and Western-Unpleasant (M = .29; SD = .37; t(16) = 3.520, p = .003) each significantly exceeded zero. However, neither Muslim-Pleasant (M = .14; SD = .45; t(16) = 1.179, p = .256) nor Muslim-Unpleasant (M = -.004; SD = .36; t(16) = 1.932, p = .071) differed significantly from zero. ",27-28,,,,,,,,,,,,,,,,
HWD5AGKS,"Bast, Diana Ferroni; Barnes-Holmes, Dermot",2014,A first test of the Implicit Relational Assessment Procedure as a measure of forgiveness of self and others,10.1007/s40732-014-0022-2,TRUE,"When each of the trial-type scores was subjected to one-sample t tests, three of them proved to be significant (ps < .03); the Otherâ€™s-Failures-Acceptable effect was nonsignificant.",258,,,,,,,,,,,,,,,,
EX9EDXDU,"Dimaro, Lian V.; Dawson, David L.; Roberts, Nicole A.; Brown, Ian; Moghaddam, Nima G.; Reuber, Markus",2014,Anxiety and avoidance in psychogenic nonepileptic seizures: The role of implicit and explicit anxiety,10.1016/j.yebeh.2014.02.016,FALSE,NA,NA,,,,,,,,,,,,,,,,
BHHSQ962,"Kishita, Naoko; Muto, Takashi; Ohtsuki, Tomu; Barnes-Holmes, Dermot",2014,Measuring the effect of cognitive defusion using the Implicit Relational Assessment Procedure: An experimental analysis with a highly socially anxious sample,10.1016/j.jcbs.2013.12.001,FALSE,NA,NA,,,,,,,,,,,,,,,,
YU8FYGNP,"Murphy, Carol; MacCarthaigh, Saoirse; Barnes-Holmes, Dermot",2014,Implicit Relational Assessment Procedure and attractiveness bias: Directionality of bias and influence of gender of participants,,TRUE,Eight one-sample t-tests were conducted to determine if the D-IRAP scores for each of the four trial-types differed significantly from 0 for male and female participants.,344,,,,,,,,,,,,,,,,
F4RACD6V,"Nicholson, Emma; Dempsey, Kimberley; Barnes-Holmes, Dermot",2014,The role of responsibility and threat appraisals in contamination fear and obsessive-compulsive tendencies at the implicit level,10.1016/j.jcbs.2013.11.001,FALSE,NA,NA,,,,,,,,,,,,,,,,
TTSPXEI6,"Nicholson, Emma; Hopkins-Doyle, Aife; Barnes-Holmes, Dermot; Roche, Richard A. P.",2014,"Psychopathology, anxiety or attentional control: Determining the variables which predict IRAP performance",10.1007/s40732-014-0020-4,FALSE,NA,NA,,,,,,,,,,,,,,,,
NM2U2VL4,"Rabelo, Laura Z.; Bortoloti, Renato; Souza, Debora H.",2014,Dolls are for girls and not for boys: Evaluating the appropriateness of the implicit relational assessment procedure for school-age children,10.1007/s40732-014-0006-2,TRUE,"Participants were faster to respond that dolls matched Mary (the mean D-IRAP score was 0.32 and different from zero, t= 2.02, p<0.05) and that dolls did not match John (the mean D- IRAP score was 0.22 and different from zero, t = 2.06, p < 0.05) than when the opposite responses were required. ",74.0,,,,,,,,,,,,,,,,
7DJK8W4T,"Remue, Jonathan; Hughes, Sean; De Houwer, Jan; De Raedt, Rudi",2014,To be or want to be: Disentangling the role of actual versus ideal self in implicit self-esteem,10.1371/journal.pone.0108837,FALSE,NA,NA,,,,,,,,,,,,,,,,
EZHNXQAP,"Scanlon, Geraldine; McEnteggart, Ciara; Barnes-Holmes, Yvonne; Barnes-Holmes, Dermot",2014,Using the Implicit Relational Assessment Procedure (IRAP) to assess implicit gender bias and self-esteem in typically-developing children and children with ADHD and with dyslexia,10.1037/h0100577,TRUE,Eight one sample t-tests were conducted to determine whether each of the trial-type D-IRAP scores di ered significantly from zero.,54,,,,,,,,,,,,,,,,
JMZVJLXL,"Bast, Diana Ferroni; Barnes-Holmes, Dermot",2015,Developing the Implicit Relational Assessment Procedure (IRAP) as a measure of self-forgiveness related to failing and succeeding behaviors,10.1007/s40732-014-0100-5,TRUE,"When each of the four trial-type scores was subjected to one-sample t tests, only the Failureâ€“positive feel- ings trial type did not differ significantly from zero",195,,,,,,,,,,,,,,,,
BPHT4SSR,"Bast, Diana Ferroni; Barnes-Holmes, Dermot",2015,Priming thoughts of failing versus succeeding and performance on the Implicit Relational Assessment Procedure (IRAP) as a measure of self-forgiveness,10.1007/s40732-015-0137-0,TRUE,"For the Positive Priming group, only one trial type, Success-Positive feelings, differed significantly from zero (p<.0001).",673,,,,,,,,,,,,,,,,
LVHBUBAF,"Bast, Diana Ferroni; Barnes-Holmes, Yvonne; Barnes-Holmes, Dermot",2015,Developing an individualized Implicit Relational Assessment Procedure (IRAP) as a potential measure of self-forgiveness related to negative and positive behavior,10.1007/s40732-015-0141-4,TRUE,It is also worth noting that the effects for the Negative-Positive trial type across the two IRAPs also differed substantivelyâ€”for the Feelings IRAP the effect was close to zero but it was significantly positive for the Outcomes IRAP.,10 in preprint,,,,,,,,,,,,,,,,
YEXRX6GG,"Dimaro, Lian V.; Roberts, Nicole A.; Moghaddam, Nima G.; Dawson, David L.; Brown, Ian; Reuber, Markus",2015,Implicit and explicit self-esteem discrepancies in people with psychogenic nonepileptic seizures,10.1016/j.yebeh.2015.03.032,TRUE,"Positive D-IRAP scores suggest a general bias toward positive views, and negative D-IRAP scores suggest a general bias toward negative views. The zero point indicates no bias. As expected, the IRAPSE showed a significant effect for the self-positive response bias as indexed by significant one-sample t-tests in all diagnostic groups (ps ≤ 0.001).",4,,,,,,,,,,,,,,,,
X4CLXGYB,"Drake, Chad E.; Kramer, Sam; Habib, Reza; Schuler, Kelsey; Blankenship, Lindsay; Locke, Janna",2015,Honest politics: Evaluating candidate perceptions for the 2012 US Election with the Implicit Relational Assessment Procedure,10.1016/j.jcbs.2015.04.004,TRUE,"Positive or negative D-scores suggest biases in relational repertoires, while scores at or near zero suggest a lack of substantive bias; Results were significant for the overall D-score, t(21)1â„43.269, p1â„4.004, Obama positive, t(21)1â„46.063, po.001, Obama negative, t(21) 1â„4 3.751, p o .001, and Romney positive.","132, 136",,,,,,,,,,,,,,,,
I6DM5PYE,"Drake, Chad E.; Kramer, Sam; Sain, Travis; Swiatek, Rachel; Kohn, Kristin; Murphy, Meagan",2015,Exploring the reliability and convergent validity of implicit racial evaluations,10.5210/bsi.v24i0.5496,TRUE,"Among the comparisons of IRAP D-scores for Black and White participants, the effect size was large to very large for all D-Scores for the first race IRAP as well as for the overall D-score and the White positive trial-type of the second race IRAP. The effect sizes were small to medium for Black negative and small for Black positive and White negative of the second IRAP. In all cases, White participants exhibited more pro-White and/or less pro-Black D-scores.",81,,,,,,,,,,,,,,,,
7WKBNNYG,"Expósito, Paloma Maroto; López, Mónica Hernández; Valverde, Miguel Rodríguez",2015,Assessment of implicit anti-fat and pro-slim attitudes in young women using the Implicit Relational Assessment Procedure,,TRUE,Five one sample t-tests were conducted to determine if each of these measures was signi cantly different from zero,25,,,,,,,,,,,,,,,,
26T4GGLN,"Farrell, Lynn; Cochrane, Andy; McHugh, Louise",2015,Exploring attitudes towards gender and science: The advantages of an IRAP approach versus the IAT,10.1016/j.jcbs.2015.04.002,TRUE,One-sample t-tests indicated that the D-IRAP scores for the Female group were significantly different from zero for the Pro-Men-Science,125,,,,,,,,,,,,,,,,
MKECP8CG,"Heider, Niclas; Spruyt, Adriaan; De Houwer, Jan",2015,Implicit beliefs about ideal body image predict body image dissatisfaction,10.3389/fpsyg.2015.01402,FALSE,NA,NA,,,,,,,,,,,,,,,,
TJGPU76H,"Hussey, Ian; Daly, Tarah; Barnes-Holmes, Dermot",2015,"Life is good, but death ain’t bad either: Counter-intuitive implicit biases to death in a normative population",10.1007/s40732-015-0142-3,TRUE,Effects on the Bdeathâ€“negative^ trial type were not significantly dif- ferent from zero (p=.38),8 in preprint,,,,,,,,,,,,,,,,
ISQ98EZF,"Kelly, Michelle E.; Barnes-Holmes, Dermot",2015,Measuring implicit and explicit acceptability of reinforcement versus punishment interventions with teachers working in ABA versus mainstream schools,10.1007/s40732-014-0101-4,TRUE,"One-sample t tests were conducted to determine if the D-IRAP scores for each group differed significantly from zero. For the MT group, only the scores for Good- Reinforcement were significant,",258,,,,,,,,,,,,,,,,
JKJIBISR,"Murphy, Carol; Hussey, Tara; Barnes-Holmes, Dermot; Kelly, Michelle E.",2015,The Implicit Relational Assessment Procedure (IRAP) and attractiveness bias,10.1016/j.jcbs.2015.08.001,TRUE,"Eight one-sample t-tests were conducted with the D-IRAP scores for each trial-type in each gender group, to determine which trial-type (/s) differed from zero at the statistically significant level.",17 in preprint,,,,,,,,,,,,,,,,
HNZT966K,"O'Shea, Brian",2015,Capitalism versus a new economic model: Implicit and explicit attitudes of protesters and bankers,10.1080/14742837.2014.938732,TRUE,Six one-sample t-tests were conducted to determine if the D-IRAP Capitalism and RBE trial types including the overall D-IRAP differed significantly from zero for each group. ,11.0,,,,,,,,,,,,,,,,
CI27QBJJ,"Perez, William Ferreira; de Almeida, João Henrique; de Rose, Julio C.",2015,Transformation of meaning through relations of sameness and opposition,10.1007/s40732-015-0138-z,TRUE,A one-sample t test statistical analysis shows that the DIRAP scores for all trial types were significantly different from zero ,685,,,,,,,,,,,,,,,,
K9U3IBA4,"Ritzert, Timothy R.; Forsyth, John P.; Berghoff, Christopher R.; Barnes-Holmes, Dermot; Nicholson, Emma",2015,The impact of a cognitive defusion intervention on behavioral and psychological flexibility: An experimental evaluation in a spider fearful non-clinical sample,10.1016/j.jcbs.2015.04.001,TRUE,"Analyses were conducted to determine if post-intervention IRAP effects for each condition were significantly different from zero (because IRAP effects of zero would indicate defused, flexible responding).",6,,,,,,,,,,,,,,,,
66RNVCRC,"Rönspies, Jelena; Schmidt, Alexander F.; Melnikova, Anna; Krumova, Rosina; Zolfagari, Asadeh; Banse, Rainer",2015,"Indirect measurement of sexual orientation: Comparison of the Implicit Relational Assessment Procedure, viewing time, and choice reaction time tasks",10.1007/s10508-014-0473-1,FALSE,NA,NA,,,,,,,,,,,,,,,,
R9PB6WIC,"Barbero-Rubio, Adrián; López-López, Juan C.; Luciano, Carmen; Eisenbeck, Nikolett",2016,Perspective-taking measured by Implicit Relational Assessment Procedure (IRAP),10.1007/s40732-016-0166-3,TRUE,"Four one-sample t tests were conducted, showing that the four DIRAP scores for all trial types were significantly different from zeroâ€”I-Iâ€™s: M = .61, SD = .40, t(34) = 9.181, p < .001, d = 1.55; I-otherâ€™s: M = .30, SD = .43, t(34) = 4.165, p < .001,",6 of preprint,,,,,,,,,,,,,,,,
MDXQAPJW,"Bast, Diana Ferroni; Linares, Ila Marques Porto; Gomes, Caina; Kovac, Roberta; Barnes-Holmes, Dermot",2016,The Implicit Relational Assessment Procedure (IRAP) as a measure of self-forgiveness: The impact of a training history in clinical behavior analysis,10.1007/s40732-016-0162-7,TRUE,"When each of the eight trial-type scores for the two groups were subjected to one-sample t tests, three of the tests yielded significance (ps < .01) for the BT group (the Failure-Positive Feelings trial type was nonsignifi- cant, p = .75).",184,,,,,,,,,,,,,,,,
GQ6MQ4DQ,"Drake, Chad E.; Seymour, Kail H.; Habib, Reza",2016,Testing the IRAP: Exploring the reliability and fakability of an idiographic approach to interpersonal attitudes,10.1007/s40732-015-0160-1,FALSE,NA,NA,,,,,,,,,,,,,,,,
85R7EEGW,"Drake, Chad E.; Timko, C. Alix; Luoma, Jason B.",2016,Exploring an implicit measure of acceptance and experiential avoidance of anxiety,10.1007/s40732-016-0186-z,TRUE,"The I am willing to have happiness trial type revealed a significant bias among the sample for selecting true more quickly than false, t(37) = 3.556, p = 0.001, 95 % CI [0.12, 0.43], d = 0.58. ",7 in pdf,,,,,,,,,,,,,,,,
CMHMBLM9,"Finn, Martin; Barnes-Holmes, Dermot; Hussey, Ian; Graddy, Joseph",2016,Exploring the behavioral dynamics of the implicit relational assessment procedure: The impact of three types of introductory rules,10.1007/s40732-016-0173-4,TRUE,Four one-sample t-tests indicated that the D-IRAP scores for the GR group each differed significantly from zero;,7 in preprint,,,,,,,,,,,,,,,,
YJCJPI8N,"Hughes, Sean; Hussey, Ian; Corrigan, Bethany; Jolie, Katie; Murphy, Carol; Barnes‐Holmes, Dermot",2016,Faking revisited: Exerting strategic control over performance on the Implicit Relational Assessment Procedure,10.1002/ejsp.2207,TRUE,"participants showed the expected effect on all four trial types, with follow-up, one-sample t-tests, indicating that these effects significantly differed from zero (ps < .002),",5 in preprint,,,,,,,,,,,,,,,,
